;"Day";"DJIA.Close";"N225.Close";"SSMI.Close"
2005-07-11;2005-07-11;10519,719727;11674,790039;6357,200195
2005-07-12;2005-07-12;10513,889648;11692,139648;6328,700195
2005-07-13;2005-07-13;10557,389648;11659,839844;6393,799805
2005-07-14;2005-07-14;10628,879883;11764,259766;6449,200195
2005-07-15;2005-07-15;10640,830078;11758,679688;6459,899902
2005-07-19;2005-07-19;10646,55957;11764,839844;6482,100098
2005-07-20;2005-07-20;10689,150391;11789,349609;6510,700195
2005-07-21;2005-07-21;10627,769531;11786,730469;6492
2005-07-22;2005-07-22;10651,179688;11695,049805;6492,5
2005-07-25;2005-07-25;10596,480469;11762,650391;6503,899902
2005-07-26;2005-07-26;10579,769531;11737,959961;6521
2005-07-27;2005-07-27;10637,089844;11835,080078;6560,100098
2005-07-28;2005-07-28;10705,549805;11858,30957;6612,399902
2005-07-29;2005-07-29;10640,910156;11899,599609;6600,899902
2005-08-01;2005-08-01;10623,150391;11946,919922;6609,399902
2005-08-02;2005-08-02;10683,740234;11940,200195;6672,200195
2005-08-03;2005-08-03;10697,589844;11981,799805;6658,100098
2005-08-04;2005-08-04;10610,099609;11883,30957;6617,299805
2005-08-05;2005-08-05;10558,030273;11766,480469;6607,700195
2005-08-08;2005-08-08;10536,929688;11778,980469;6634,299805
2005-08-09;2005-08-09;10615,669922;11900,320313;6638,899902
2005-08-10;2005-08-10;10594,410156;12098,080078;6689,200195
2005-08-11;2005-08-11;10685,889648;12263,320313;6680,5
2005-08-12;2005-08-12;10600,299805;12261,679688;6647,5
2005-08-15;2005-08-15;10634,379883;12256,549805;6636,399902
2005-08-16;2005-08-16;10513,450195;12315,669922;6634,600098
2005-08-17;2005-08-17;10550,709961;12273,120117;6631,399902
2005-08-18;2005-08-18;10554,919922;12307,370117;6596,399902
2005-08-19;2005-08-19;10559,230469;12291,730469;6636,600098
2005-08-22;2005-08-22;10569,889648;12452,509766;6623,299805
2005-08-23;2005-08-23;10519,580078;12472,929688;6565,299805
2005-08-24;2005-08-24;10434,870117;12502,259766;6537
2005-08-25;2005-08-25;10450,629883;12405,160156;6485
2005-08-26;2005-08-26;10397,290039;12439,480469;6445,399902
2005-08-29;2005-08-29;10463,049805;12309,830078;6463,700195
2005-08-30;2005-08-30;10412,820313;12453,139648;6473,200195
2005-08-31;2005-08-31;10481,599609;12413,599609;6517,200195
2005-09-01;2005-09-01;10459,629883;12506,969727;6553,600098
2005-09-02;2005-09-02;10447,370117;12600;6532,100098
2005-09-06;2005-09-06;10589,240234;12599,429688;6609,799805
2005-09-07;2005-09-07;10633,5;12607,589844;6684,700195
2005-09-08;2005-09-08;10595,929688;12533,889648;6681,700195
2005-09-09;2005-09-09;10678,55957;12692,040039;6703,600098
2005-09-12;2005-09-12;10682,94043;12896,429688;6727,200195
2005-09-13;2005-09-13;10597,44043;12901,950195;6696,399902
